Number,Pace,Distance,Duration,Run Type,Notes
1,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
2,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
3,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
4,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
5,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
6,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
7,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
8,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
9,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
10,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
11,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
12,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
13,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
14,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
15,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
16,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
17,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
18,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
19,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
20,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
21,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
22,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
23,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
24,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
25,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
26,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
27,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
28,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
29,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
30,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
31,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
32,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
33,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
34,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
35,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
36,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
37,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
38,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
39,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
40,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
41,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
42,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
43,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
44,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
45,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
46,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
47,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
48,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
49,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
50,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
51,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
52,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
53,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
54,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
55,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
56,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
57,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
58,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
59,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
60,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
61,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
62,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
63,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
64,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
65,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
66,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
67,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
68,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
69,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
70,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
71,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
72,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
73,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
74,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
75,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
76,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
77,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
78,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
79,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
80,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
81,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
82,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
83,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
84,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
85,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
86,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
87,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
88,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
89,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
90,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
91,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
92,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
93,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
94,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
95,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
96,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
97,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
98,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
99,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
100,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
