Number,Pace,Distance,Duration,Run Type,Notes
101,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
102,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
103,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
104,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
105,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
106,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
107,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
108,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
109,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
110,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
111,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
112,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
113,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
114,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
115,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
116,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
117,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
118,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
119,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
120,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
121,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
122,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
123,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
124,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
125,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
126,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
127,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
128,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
129,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
130,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
131,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
132,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
133,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
134,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
135,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
136,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
137,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
138,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
139,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
140,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
141,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
142,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
143,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
144,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
145,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
146,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
147,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
148,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
149,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
150,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
151,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
152,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
153,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
154,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
155,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
156,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
157,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
158,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
159,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
160,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
161,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
162,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
163,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
164,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
165,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
166,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
167,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
168,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
169,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
170,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
171,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
172,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
173,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
174,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
175,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
176,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
177,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
178,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
179,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
180,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
181,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
182,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
183,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
184,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
185,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
186,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
187,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
188,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
189,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
190,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
191,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
192,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
193,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
194,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
195,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
196,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
197,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
198,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
199,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
200,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."